lat,lon,year_of_crime
34.0449,-118.2458,2015
34.051,-118.2445,2015
34.0461,-118.2476,2015
34.0449,-118.2458,2015
34.0407,-118.2468,2015
34.0454,-118.2466,2015
34.0454,-118.2466,2015
34.0454,-118.2466,2015
34.0442,-118.2439,2015
34.046,-118.2509,2015
34.0407,-118.2468,2015
34.0442,-118.2439,2015
34.0482,-118.2472,2015
34.0486,-118.2554,2015
34.0486,-118.2554,2015
34.0408,-118.2511,2015
34.0428,-118.2461,2015
34.0419,-118.2485,2015
34.032,-118.2667,2015
34.0496,-118.2458,2015
34.0407,-118.2468,2015
34.035,-118.2386,2015
34.043,-118.2606,2015
34.0433,-118.2488,2015
34.0572,-118.2481,2015
34.0464,-118.2447,2015
34.051,-118.248,2015
34.0446,-118.249,2015
34.0387,-118.2439,2015
34.0515,-118.2424,2015
34.0458,-118.243,2015
34.0487,-118.2588,2015
34.0615,-118.2412,2015
34.051,-118.248,2015
34.0446,-118.249,2015
34.0446,-118.249,2015
34.0488,-118.2553,2015
34.0395,-118.2405,2015
34.0452,-118.2569,2015
34.0522,-118.2434,2015
34.0488,-118.2518,2015
34.0446,-118.249,2015
34.0498,-118.24,2015
34.0481,-118.2507,2015
34.0462,-118.2585,2015
34.0471,-118.2474,2015
34.051,-118.248,2015
34.043,-118.242,2015
34.0408,-118.2428,2015
34.0445,-118.2523,2015
34.0473,-118.2566,2015
34.0407,-118.2468,2015
34.0437,-118.2455,2015
34.035,-118.2386,2015
34.0421,-118.2469,2015
34.0714,-118.2329,2015
34.0495,-118.2529,2015
34.0532,-118.2476,2015
34.0446,-118.245,2015
34.0437,-118.2455,2015
34.0404,-118.2504,2015
34.0467,-118.252,2015
34.0421,-118.2469,2015
34.0363,-118.2677,2015
34.0435,-118.2427,2015
34.0435,-118.2427,2015
34.0478,-118.2484,2015
34.046,-118.2509,2015
34.0501,-118.2557,2015
34.0449,-118.2458,2015
34.0416,-118.244,2015
34.0481,-118.2542,2015
34.0423,-118.2452,2015
34.0428,-118.2461,2015
34.0449,-118.2415,2015
34.0419,-118.2669,2015
34.0417,-118.2443,2015
34.035,-118.2386,2015
34.0378,-118.2561,2015
34.0438,-118.2416,2015
34.0479,-118.2612,2015
34.0449,-118.2528,2015
34.0454,-118.2657,2015
34.0431,-118.2692,2015
34.0464,-118.248,2015
34.0491,-118.2558,2015
34.0453,-118.2499,2015
34.0453,-118.2499,2015
34.0395,-118.2656,2015
34.0365,-118.2676,2015
34.0606,-118.2439,2015
34.0483,-118.2631,2015
34.0448,-118.2474,2015
34.0448,-118.2474,2015
34.0423,-118.2452,2015
34.0468,-118.2415,2015
34.0362,-118.2325,2015
34.0362,-118.2325,2015
34.0558,-118.24,2015
34.0435,-118.2427,2015
34.033,-118.2615,2015
34.0487,-118.2588,2015
34.0416,-118.244,2015
34.0403,-118.2421,2015
34.0475,-118.2657,2015
34.0396,-118.259,2015
34.0491,-118.2558,2015
34.0435,-118.2427,2015
34.0522,-118.2434,2015
34.0471,-118.2491,2015
34.0498,-118.24,2015
34.0462,-118.2585,2015
34.0463,-118.2466,2015
34.0408,-118.2511,2015
34.0491,-118.2558,2015
34.0428,-118.2461,2015
34.0461,-118.2476,2015
34.0467,-118.252,2015
34.0396,-118.2451,2015
34.0488,-118.2518,2015
34.0473,-118.2462,2015
34.0395,-118.2405,2015
34.0395,-118.2405,2015
34.0488,-118.25,2015
34.0396,-118.2451,2015
34.0467,-118.2556,2015
34.0503,-118.2504,2015
34.046,-118.2493,2015
34.0407,-118.268,2015
34.0517,-118.2491,2015
34.0453,-118.2499,2015
34.0446,-118.245,2015
34.0395,-118.2405,2015
34.0423,-118.2452,2015
34.0503,-118.2504,2015
34.0586,-118.2402,2015
34.0417,-118.2443,2015
34.0423,-118.2631,2015
34.0467,-118.2556,2015
34.0419,-118.2485,2015
34.035,-118.2386,2015
34.0487,-118.2571,2015
34.0446,-118.245,2015
34.0417,-118.2443,2015
34.0428,-118.2461,2015
34.0623,-118.2383,2015
34.0435,-118.2471,2015
34.0606,-118.2439,2015
34.0437,-118.2455,2015
34.0451,-118.27,2015
34.0565,-118.2395,2015
34.0442,-118.2439,2015
34.0452,-118.2534,2015
34.0495,-118.2494,2015
34.0517,-118.2491,2015
34.0423,-118.2452,2015
34.046,-118.2493,2015
34.0407,-118.2468,2015
34.0649,-118.2289,2015
34.0428,-118.2461,2015
34.0514,-118.2451,2015
34.0421,-118.2469,2015
34.0481,-118.2507,2015
34.0433,-118.2504,2015
34.051,-118.2445,2015
34.0395,-118.2405,2015
34.0491,-118.2558,2015
34.0446,-118.249,2015
34.0511,-118.2336,2015
34.0459,-118.2545,2015
34.0467,-118.247,2015
34.0592,-118.2414,2015
34.0488,-118.2518,2015
34.0488,-118.2518,2015
34.0357,-118.2563,2015
34.0446,-118.245,2015
34.0461,-118.2476,2015
34.0473,-118.2462,2015
34.0435,-118.2471,2015
34.0382,-118.2384,2015
34.0572,-118.2481,2015
34.0481,-118.2507,2015
34.045,-118.264,2015
34.0476,-118.2477,2015
34.0442,-118.2439,2015
34.045,-118.264,2015
34.0566,-118.2531,2015
34.0428,-118.2461,2015
34.0421,-118.2405,2015
34.0446,-118.2507,2015
34.0416,-118.255,2015
34.0437,-118.2455,2015
34.0594,-118.2452,2015
34.0646,-118.2473,2015
34.0646,-118.2473,2015
34.0646,-118.2473,2015
34.0646,-118.2473,2015
34.0646,-118.2473,2015
34.0547,-118.2505,2015
34.043,-118.242,2015
34.0502,-118.254,2015
34.0421,-118.2469,2015
34.0467,-118.252,2015
34.0462,-118.2628,2015
34.0491,-118.2558,2015
34.0449,-118.2458,2015
34.0419,-118.2708,2015
34.0364,-118.2603,2015
34.043,-118.242,2015
34.0461,-118.2476,2015
34.0467,-118.252,2015
34.034,-118.2651,2015
34.048,-118.2577,2015
34.0381,-118.2629,2015
34.0442,-118.2439,2015
34.0376,-118.2594,2015
34.0623,-118.2383,2015
34.0623,-118.2383,2015
34.0462,-118.2585,2015
34.0462,-118.2585,2015
34.0416,-118.2584,2015
34.0515,-118.2424,2015
34.0421,-118.2469,2015
34.0416,-118.262,2015
34.0407,-118.2468,2015
34.0442,-118.2439,2015
34.0354,-118.264,2015
34.0467,-118.2556,2015
34.0467,-118.2556,2015
34.0442,-118.2439,2015
34.0495,-118.2458,2015
34.0404,-118.233,2015
34.0577,-118.2318,2015
34.0342,-118.2636,2015
34.0371,-118.2612,2015
34.0517,-118.2474,2015
34.0442,-118.2439,2015
34.0461,-118.2476,2015
34.0663,-118.2302,2015
34.0663,-118.2441,2015
34.0439,-118.2479,2015
34.0437,-118.2455,2015
34.0452,-118.2534,2015
34.0627,-118.2463,2015
34.0685,-118.246,2015
34.0442,-118.2439,2015
34.0481,-118.2507,2015
34.043,-118.2606,2015
34.0439,-118.2514,2015
34.0352,-118.2583,2015
34.0446,-118.245,2015
34.0437,-118.2455,2015
34.0382,-118.2384,2015
34.0361,-118.2634,2015
34.0565,-118.2411,2015
34.0453,-118.2443,2015
34.0453,-118.2499,2015
34.0467,-118.2556,2015
34.046,-118.2509,2015
34.0402,-118.2598,2015
34.046,-118.2326,2015
34.039,-118.2444,2015
34.048,-118.2577,2015
34.048,-118.2577,2015
34.0433,-118.2504,2015
34.0478,-118.2502,2015
34.0446,-118.245,2015
34.0524,-118.2467,2015
34.0582,-118.2387,2015
34.0335,-118.2619,2015
34.0448,-118.2474,2015
34.0467,-118.252,2015
34.0481,-118.2507,2015
34.0586,-118.2402,2015
34.0428,-118.2461,2015
34.0395,-118.2405,2015
34.0412,-118.2436,2015
34.0454,-118.2466,2015
34.0452,-118.2534,2015
34.0449,-118.2528,2015
34.0606,-118.2439,2015
34.0435,-118.2427,2015
34.0401,-118.2533,2015
34.0428,-118.2461,2015
34.0449,-118.2458,2015
34.0467,-118.252,2015
34.0472,-118.2442,2015
34.0421,-118.2469,2015
34.0485,-118.2447,2015
34.0572,-118.2405,2015
34.0417,-118.2443,2015
34.0642,-118.2301,2015
34.0419,-118.2485,2015
34.0352,-118.2583,2015
34.0448,-118.2474,2015
34.0448,-118.2474,2015
34.0417,-118.2443,2015
34.0464,-118.2402,2015
34.0435,-118.2427,2015
34.0448,-118.2474,2015
34.0437,-118.2455,2015
34.0423,-118.2452,2015
34.046,-118.2326,2015
34.0416,-118.2584,2015
34.0454,-118.2466,2015
34.0417,-118.2443,2015
34.0449,-118.2458,2015
34.0481,-118.2507,2015
34.039,-118.24,2015
34.039,-118.24,2015
34.0451,-118.2604,2015
34.0421,-118.2469,2015
34.0523,-118.2572,2015
34.0488,-118.2553,2015
34.0419,-118.2485,2015
34.0482,-118.2472,2015
34.048,-118.2577,2015
34.0377,-118.2621,2015
34.0353,-118.274,2015
34.0412,-118.2474,2015
34.0437,-118.2455,2015
34.0481,-118.2507,2015
34.0438,-118.2547,2015
34.0438,-118.2547,2015
34.0384,-118.2646,2015
34.0428,-118.2461,2015
34.0423,-118.2452,2015
34.045,-118.2628,2015
34.0473,-118.2601,2015
34.0473,-118.2566,2015
34.0495,-118.2458,2015
34.0428,-118.2461,2015
34.046,-118.2509,2015
34.0446,-118.245,2015
34.0419,-118.2485,2015
34.0428,-118.2461,2015
34.0428,-118.2461,2015
34.0416,-118.2584,2015
34.0467,-118.2556,2015
34.0473,-118.2462,2015
34.0401,-118.2359,2015
34.0471,-118.2491,2015
34.0515,-118.2424,2015
34.0428,-118.2461,2015
34.0467,-118.2556,2015
34.0395,-118.2405,2015
34.0685,-118.246,2015
34.0407,-118.2468,2015
34.0442,-118.2439,2015
34.0452,-118.2534,2015
34.0437,-118.2455,2015
34.0437,-118.2455,2015
34.0437,-118.2455,2015
34.0437,-118.2455,2015
34.0437,-118.2455,2015
34.0464,-118.2447,2015
34.0453,-118.2499,2015
34.0473,-118.2601,2015
34.0518,-118.2314,2015
34.0435,-118.2471,2015
34.0435,-118.2427,2015
34.0488,-118.25,2015
34.0419,-118.2485,2015
34.0404,-118.2504,2015
34.0478,-118.2502,2015
34.0396,-118.259,2015
34.048,-118.2577,2015
34.0495,-118.2494,2015
34.0644,-118.2387,2015
34.03,-118.2624,2015
34.0488,-118.25,2015
34.0498,-118.24,2015
34.0394,-118.2496,2015
34.0423,-118.2452,2015
34.0516,-118.2561,2015
34.0449,-118.2415,2015
34.0439,-118.2514,2015
34.0415,-118.2654,2015
34.0403,-118.2421,2015
34.043,-118.242,2015
34.0459,-118.2579,2015
34.0428,-118.2461,2015
34.0395,-118.2405,2015
34.0437,-118.2455,2015
34.0454,-118.2466,2015
34.0488,-118.25,2015
34.0431,-118.2536,2015
34.0407,-118.2468,2015
34.0471,-118.2491,2015
34.0421,-118.2405,2015
34.0421,-118.2469,2015
34.0552,-118.2322,2015
34.0453,-118.2499,2015
34.0417,-118.2443,2015
34.0382,-118.2384,2015
34.0423,-118.2452,2015
34.0485,-118.2478,2015
34.0415,-118.2374,2015
34.0442,-118.2439,2015
34.0446,-118.245,2015
34.047,-118.2647,2015
34.0423,-118.2452,2015
34.046,-118.2493,2015
34.0474,-118.2531,2015
34.0483,-118.2631,2015
34.0421,-118.2469,2015
34.0644,-118.2387,2015
34.0644,-118.2387,2015
34.0408,-118.2428,2015
34.0541,-118.2451,2015
34.0494,-118.2599,2015
34.0552,-118.2322,2015
34.0458,-118.2361,2015
34.0472,-118.2326,2015
34.0619,-118.2369,2015
34.0471,-118.2491,2015
34.0438,-118.2416,2015
34.0442,-118.2439,2015
34.0387,-118.2335,2015
34.0421,-118.2469,2015
34.0378,-118.2561,2015
34.0568,-118.2426,2015
34.0442,-118.2439,2015
34.0439,-118.2514,2015
34.048,-118.2577,2015
34.0428,-118.2532,2015
34.0421,-118.2469,2015
34.0606,-118.2439,2015
